0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 
0: 0 0 0 0.0010593 0.00299034 0.00364606 0.00430178 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
0.5: 0.00198249 0.00219888 0.00241528 0.0024772 0.00253912 0.00284009 0.00314106 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
1: 0.00294931 0.00262831 0.00230731 0.00252797 0.00274863 0.00344275 0.00413687 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
1.5: 0.00269091 0.00252305 0.00235519 0.00256634 0.0027775 0.00298959 0.00320169 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
2: 0.00412108 0.0031968 0.00227253 0.00274845 0.00322437 0.00538811 0.00755184 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
2.5: 0.00371784 0.00300815 0.00229847 0.00281916 0.00333986 0.00414222 0.00494459 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
3: 0.00239882 0.00244263 0.00248645 0.00293099 0.00337554 0.00484754 0.00631954 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
3.5: 0.0040719 0.00327224 0.00247259 0.00350334 0.00453409 0.00510802 0.00568196 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
4: 0.00424599 0.00348279 0.00271958 0.00359507 0.00447057 0.00567635 0.00688212 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
4.5: 0.00430395 0.00362091 0.00293788 0.00425444 0.00557099 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
5: 0.00445378 0.00370771 0.00296164 0.00427866 0.00559567 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
5.5: 0.00417702 0.00371212 0.00324721 0.00472638 0.00620554 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6: 0.00363461 0.00344774 0.00326088 0.00491855 0.00657623 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6.5: 0.00226593 0.00260099 0.00293605 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
7: 0.00241543 0.00275446 0.00309348 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
7.5: 0.00396336 0.00452543 0.0050875 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
8: 0.00231969 0.00320074 0.00408179 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
8.5: 0.00237231 0.00377214 0.00517197 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
9: 0.00255449 0.00536305 0.00817162 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
9.5: 0.00409141 0.00583268 0.00757395 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
10: 0.00208414 0.00482155 0.00755896 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
