0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 
0: 0.00279992 0.00342273 0.00383804 0.00413429 0.00418165 0.00421942 0.00424432 0.00427965 0.00431615 0.00422076 0.00301936 0.00219611 0.0023368 0.00218341 0.00139991 0.00139991 0.00139991 0.00139991 
0.5: 0.00415412 0.0041934 0.00421736 0.00423237 0.00424907 0.00426816 0.00428776 0.00431598 0.00381687 0.00256736 0.00223762 0.00231126 0.00233093 0.00231018 0.00228152 0.00228152 0.00228152 0.00228152 
1: 0.00423937 0.00425322 0.00426654 0.00427836 0.00429151 0.00430692 0.00432238 0.00382238 0.00233076 0.00220812 0.00229408 0.0023654 0.00232506 0.00247549 0.00271827 0.00271827 0.00271827 0.00271827 
1.5: 0.00428386 0.00429477 0.00430564 0.00431496 0.00432533 0.00411845 0.00332693 0.00233232 0.00225553 0.00232304 0.00235834 0.00228225 0.00230478 0.00249021 0.00248781 0.00248781 0.00248781 0.00248781 
2: 0.0043193 0.0043279 0.0041602 0.00385575 0.00308957 0.00250565 0.00227307 0.00225488 0.00234251 0.00235436 0.00229426 0.0023852 0.0021872 0.00256907 0.00232067 0.00232067 0.00232067 0.00232067 
2.5: 0.00357395 0.0028826 0.00253083 0.00234721 0.00224571 0.00222013 0.00227941 0.00234225 0.00232122 0.00229595 0.0023706 0.00219829 0.00226077 0.00263114 0.00261184 0.00261184 0.00261184 0.00261184 
3: 0.00230154 0.00222185 0.00221523 0.00225097 0.00229073 0.00232797 0.00235232 0.00232167 0.00233712 0.00235605 0.00222456 0.00218618 0.00242925 0.00228239 0.0027306 0.0027306 0.0027306 0.0027306 
3.5: 0.00226762 0.00230061 0.00232596 0.00234064 0.00235697 0.00234597 0.00230452 0.00233656 0.00228353 0.00219085 0.0021815 0.00235947 0.00250122 0.0023372 0.00279618 0.00279618 0.00279618 0.00279618 
4: 0.00234748 0.00236102 0.00234939 0.00232441 0.0022966 0.00230638 0.00235786 0.00228452 0.00218569 0.00221322 0.00233518 0.00251784 0.0025375 0.0026128 0.00312589 0.00312589 0.00312589 0.00312589 
4.5: 0.00231276 0.0022897 0.00230213 0.00233316 0.0023677 0.00233768 0.002247 0.00218576 0.00228048 0.00238477 0.00249887 0.00248983 0.0026174 0.00270442 0.00323551 0.00323551 0.00323551 0.00323551 
5: 0.00234763 0.00237627 0.00234517 0.00229051 0.00222968 0.00218954 0.00218309 0.00227956 0.0024477 0.00251181 0.00248464 0.00259667 0.00216848 0.00240209 0.00287381 0.00287381 0.00287381 0.00287381 
5.5: 0.00226503 0.00221458 0.00219007 0.00218619 0.00218186 0.00223026 0.00231436 0.00244684 0.00249683 0.00250711 0.00258504 0.00188714 0.00195753 0.00216842 0.00259425 0.00259425 0.00259425 0.00259425 
6: 0.00218438 0.00218079 0.00222331 0.00227401 0.00233042 0.00240071 0.0024794 0.00249703 0.00255009 0.00260418 0.00263808 0.00186319 0.00193269 0.0021409 0.00256132 0.00256132 0.00256132 0.00256132 
6.5: 0.00229764 0.00234443 0.0023942 0.00244164 0.00249443 0.00250802 0.00248928 0.00254951 0.00262288 0.00197664 0.00201473 0.0020765 0.00215395 0.002386 0.00285456 0.00285456 0.00285456 0.00285456 
7: 0.00246375 0.00250753 0.00250957 0.00249827 0.0024857 0.002518 0.00257174 0.00262263 0.00190037 0.00193278 0.00197003 0.00203042 0.00210616 0.00233306 0.00279122 0.00279122 0.00279122 0.00279122 
7.5: 0.002493 0.00248258 0.00251356 0.00254596 0.00258201 0.00260892 0.0026323 0.00236942 0.0024377 0.00247927 0.00252705 0.00260453 0.00270167 0.00299273 0.00358043 0.00358043 0.00358043 0.00358043 
8: 0.00256106 0.00259096 0.00260699 0.00262108 0.00263676 0.00259707 0.00263456 0.00269634 0.00277405 0.00282136 0.00287573 0.00296389 0.00307444 0.00340566 0.00407445 0.00407445 0.00407445 0.00407445 
8.5: 0.00262765 0.00317311 0.00320275 0.00323152 0.00326353 0.00330506 0.00335278 0.00343141 0.00353029 0.0035905 0.0036597 0.00377189 0.00391258 0.00433409 0.00518521 0.00518521 0.00518521 0.00518521 
9: 0.00357389 0.00360405 0.00363772 0.00367039 0.00370675 0.00375392 0.00380812 0.00389742 0.00400974 0.00407812 0.00415672 0.00428415 0.00444395 0.0049227 0.00588941 0.00588941 0.00588941 0.00588941 
9.5: 0.0032006 0.0032276 0.00325776 0.00328702 0.00331958 0.00336182 0.00341036 0.00349034 0.00359092 0.00365216 0.00372255 0.00383667 0.00397978 0.00440852 0.00527426 0.00527426 0.00527426 0.00527426 
10: 0.00351866 0.00354835 0.0035815 0.00361366 0.00364946 0.00369591 0.00374927 0.00383719 0.00394777 0.0040151 0.00409248 0.00421794 0.00437527 0.00484662 0.00579839 0.00579839 0.00579839 0.00579839 
