0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 
0: 0.00131244 0.00138729 0.00146213 0.00168804 0.00191395 0.00186995 0.00182595 0.0021081 0.00239025 0.00268227 0.00297429 0.0030691 0.00316391 0.00325872 0.00335352 0.00344833 0.00354314 0.00363795 
0.5: 0.00213898 0.00217116 0.00220333 0.00220092 0.00219851 0.0022005 0.00220249 0.00226551 0.00232852 0.00234477 0.00236102 0.00238895 0.00241689 0.00244483 0.00247276 0.0025007 0.00252864 0.00255657 
1: 0.00254844 0.00244193 0.00233543 0.00235931 0.0023832 0.00240075 0.0024183 0.00238058 0.00234286 0.00232507 0.00230728 0.00232819 0.00234911 0.00237003 0.00239094 0.00241186 0.00243278 0.00245369 
1.5: 0.00233238 0.00234148 0.00235057 0.00226806 0.00218554 0.00223977 0.002294 0.00233266 0.00237132 0.00237336 0.00237539 0.0024397 0.002504 0.00256831 0.00263261 0.00269692 0.00276122 0.00282553 
2: 0.00217568 0.00219658 0.00221748 0.00224442 0.00227135 0.0023649 0.00245844 0.00251091 0.00256338 0.00256723 0.00257108 0.00262288 0.00267467 0.00272647 0.00277826 0.00283006 0.00288185 0.00293365 
2.5: 0.00244866 0.00245358 0.0024585 0.00247673 0.00249495 0.00255189 0.00260883 0.00270104 0.00279325 0.00287668 0.00296011 0.00301316 0.00306621 0.00311927 0.00317232 0.00322537 0.00327842 0.00333148 
3: 0.00256 0.00257741 0.00259483 0.00268137 0.00276792 0.00278214 0.00279636 0.0029932 0.00319004 0.00321475 0.00323946 0.00341834 0.00359721 0.00377608 0.00395495 0.00413383 0.0043127 0.00449157 
3.5: 0.00262148 0.00269315 0.00276482 0.00284304 0.00292125 0.00304363 0.00316601 0.00330548 0.00344496 0.00361006 0.00377516 0.00389723 0.00401931 0.00414138 0.00426345 0.00438553 0.0045076 0.00462967 
4: 0.00293059 0.00296714 0.00300368 0.00309797 0.00319227 0.00338229 0.00357231 0.00371176 0.00385121 0.00410205 0.00435289 0.00454379 0.00473469 0.00492559 0.00511649 0.00530739 0.00549829 0.00568919 
4.5: 0.00303337 0.00306613 0.0030989 0.00323313 0.00336737 0.00360056 0.00383376 0.00409664 0.00435953 0.00457477 0.00479001 0.00512499 0.00545996 0.00579493 0.0061299 0.00646487 0.00679984 0.00713481 
5: 0.00269426 0.00282155 0.00294884 0.0031171 0.00328536 0.00338578 0.00348619 0.00366548 0.00384476 0.00375626 0.00366776 0.00374095 0.00381413 0.00388732 0.00396051 0.00403369 0.00410688 0.00418006 
5.5: 0.00243217 0.00250301 0.00257385 0.00265861 0.00274336 0.00280879 0.00287422 0.0029609 0.00304758 0.00311606 0.00318453 0.00334286 0.00350119 0.00365952 0.00381785 0.00397618 0.00413451 0.00429283 
6: 0.0024013 0.00254812 0.00269493 0.00274996 0.002805 0.00289676 0.00298853 0.00306257 0.00313662 0.00334668 0.00355675 0.00358852 0.00362029 0.00365206 0.00368384 0.00371561 0.00374738 0.00377915 
6.5: 0.00267621 0.00281814 0.00296007 0.00304394 0.0031278 0.00319715 0.0032665 0.00334077 0.00341504 0.00354596 0.00367689 0.00405826 0.00443963 0.004821 0.00520237 0.00558375 0.00596512 0.00634649 
7: 0.00261683 0.00287415 0.00313147 0.00322651 0.00332156 0.00340081 0.00348005 0.00369679 0.00391352 0.00406695 0.00422038 0.00449406 0.00476773 0.0050414 0.00531508 0.00558875 0.00586242 0.00613609 
7.5: 0.00335674 0.00366524 0.00397375 0.00414857 0.00432339 0.00486438 0.00540538 0.00567094 0.00593651 0.00628894 0.00664137 0.00733895 0.00803653 0.00873411 0.00943169 0.0101293 0.0108268 0.0115244 
8: 0.00381989 0.00406687 0.00431385 0.00458092 0.00484799 0.00625523 0.00766247 0.00805158 0.0084407 0.00896483 0.00948897 0.00992677 0.0103646 0.0108024 0.0112402 0.011678 0.0121158 0.0125536 
8.5: 0.00486125 0.00596554 0.00706983 0.00742945 0.00778907 0.0080382 0.00828733 0.00874453 0.00920172 0.00975868 0.0103156 0.0110497 0.0117838 0.0125179 0.013252 0.0139861 0.0147202 0.0154542 
9: 0.00552145 0.0067902 0.00805894 0.00815962 0.00826031 0.00847326 0.00868621 0.00904655 0.00940689 0.00955475 0.0097026 0.00998253 0.0102625 0.0105424 0.0108223 0.0111023 0.0113822 0.0116621 
9.5: 0.00494474 0.00577217 0.00659961 0.00730805 0.00801649 0.00835786 0.00869923 0.00880343 0.00890762 0.00886064 0.00881366 0.00934164 0.00986963 0.0103976 0.0109256 0.0114536 0.0119816 0.0125096 
10: 0.00543612 0.00647143 0.00750675 0.00793569 0.00836463 0.00910819 0.00985174 0.00990111 0.00995048 0.0093349 0.00871932 0.00922207 0.00972483 0.0102276 0.0107303 0.0112331 0.0117358 0.0122386 
