0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 
0: 0.00252236 0.00262536 0.00272836 0.00313533 0.00354229 0.004149 0.0047557 0.00507817 0.00540064 0.00582586 0.00625109 0.00535363 0.00445617 0.00355871 0.00266124 0.00176378 0.000866322 -3.11398e-05 
0.5: 0.00251565 0.00256562 0.00261559 0.00269049 0.00276539 0.00294724 0.0031291 0.00321809 0.00330709 0.00369487 0.00408266 0.00415564 0.00422862 0.0043016 0.00437458 0.00444756 0.00452055 0.00459353 
1: 0.00255444 0.0025489 0.00254337 0.0025496 0.00255584 0.00258462 0.00261341 0.00279476 0.0029761 0.0035103 0.00404449 0.00409968 0.00415487 0.00421006 0.00426524 0.00432043 0.00437562 0.0044308 
1.5: 0.00367436 0.00381624 0.00395811 0.00405103 0.00414394 0.00419367 0.00424341 0.00424375 0.0042441 0.00405023 0.00385637 0.00400378 0.0041512 0.00429861 0.00444603 0.00459344 0.00474085 0.00488827 
2: 0.0042097 0.00422801 0.00424633 0.00418562 0.0041249 0.00417225 0.0042196 0.00428038 0.00434116 0.0042765 0.00421183 0.00425448 0.00429712 0.00433977 0.00438242 0.00442507 0.00446771 0.00451036 
2.5: 0.0042605 0.00421356 0.00416661 0.00418964 0.00421267 0.00421932 0.00422596 0.00424344 0.00426093 0.00421405 0.00416717 0.00326729 0.00236741 0.00146754 0.000567657 -0.000332222 -0.0012321 -0.00213198 
3: 0.00430089 0.00429586 0.00429084 0.004277 0.00426315 0.00432833 0.00439352 0.00390931 0.0034251 0.00290901 0.00239292 0.00241044 0.00242796 0.00244548 0.002463 0.00248052 0.00249804 0.00251556 
3.5: 0.00431558 0.00430321 0.00429083 0.00404219 0.00379355 0.00324855 0.00270356 0.00250058 0.0022976 0.00229811 0.00229862 0.00239911 0.0024996 0.00260009 0.00270059 0.00280108 0.00290157 0.00300206 
4: 0.00262455 0.0024683 0.00231205 0.0022699 0.00222775 0.00222686 0.00222598 0.00229385 0.00236172 0.00227568 0.00218963 0.00226595 0.00234227 0.0024186 0.00249492 0.00257124 0.00264757 0.00272389 
4.5: 0.00219699 0.00219701 0.00219704 0.00223352 0.00227 0.00227879 0.00228759 0.00234116 0.00239473 0.00236231 0.0023299 0.00234201 0.00235413 0.00236624 0.00237836 0.00239047 0.00240259 0.0024147 
5: 0.00231847 0.00232429 0.00233011 0.00233787 0.00234563 0.00234528 0.00234493 0.00234888 0.00235282 0.00234754 0.00234226 0.00237773 0.00241319 0.00244866 0.00248412 0.00251958 0.00255505 0.00259051 
5.5: 0.00236214 0.0023665 0.00237085 0.00234741 0.00232397 0.00234391 0.00236385 0.00231675 0.00226965 0.00230093 0.00233222 0.00242069 0.00250916 0.00259763 0.0026861 0.00277457 0.00286305 0.00295152 
6: 0.00228628 0.00225815 0.00223001 0.00229092 0.00235184 0.0023079 0.00226396 0.00226027 0.00225658 0.00233679 0.002417 0.00253367 0.00265035 0.00276702 0.0028837 0.00300037 0.00311705 0.00323372 
6.5: 0.00237307 0.00230494 0.00223682 0.0022702 0.00230358 0.00229512 0.00228666 0.00234707 0.00240747 0.00250506 0.00260265 0.00264643 0.00269022 0.002734 0.00277778 0.00282156 0.00286534 0.00290912 
7: 0.00219206 0.0022584 0.00232474 0.00232858 0.00233241 0.00231437 0.00229632 0.00230082 0.00230532 0.00244057 0.00257583 0.00266342 0.00275102 0.00283861 0.0029262 0.0030138 0.00310139 0.00318899 
7.5: 0.00219743 0.00223449 0.00227154 0.00223978 0.00220802 0.00226633 0.00232463 0.00249091 0.0026572 0.00276052 0.00286383 0.0029063 0.00294877 0.00299124 0.0030337 0.00307617 0.00311864 0.00316111 
8: 0.00236999 0.00236771 0.00236542 0.0023793 0.00239319 0.00247427 0.00255535 0.00264449 0.00273362 0.00276834 0.00280305 0.00294788 0.0030927 0.00323752 0.00338235 0.00352717 0.003672 0.00381682 
8.5: 0.00251533 0.00254529 0.00257525 0.00259654 0.00261784 0.00266917 0.0027205 0.0027161 0.00271169 0.00288832 0.00306495 0.00322353 0.0033821 0.00354068 0.00369926 0.00385783 0.00401641 0.00417498 
9: 0.00249702 0.00254184 0.00258666 0.00261729 0.00264791 0.00266538 0.00268285 0.0027931 0.00290336 0.00300513 0.0031069 0.00334592 0.00358493 0.00382395 0.00406296 0.00430198 0.004541 0.00478001 
9.5: 0.00259979 0.00260295 0.0026061 0.00263122 0.00265634 0.00271791 0.00277949 0.00289286 0.00300624 0.00308645 0.00316666 0.00343223 0.0036978 0.00396337 0.00422894 0.00449451 0.00476008 0.00502565 
10: 0.00264799 0.00267467 0.00270136 0.00268837 0.00267538 0.00275066 0.00282595 0.00296487 0.0031038 0.00323507 0.00336635 0.00354466 0.00372297 0.00390127 0.00407958 0.00425789 0.0044362 0.00461451 
